street,street number,complete address,long,lat,commune,neighborhood
DEFENSA,1524,1524 DEFENSA,-58.3709946,-34.6256588,1,SAN TELMO
BARTOLOME MITRE,906,"906 MITRE, BARTOLOME",-58.3796587,-34.6072156,1,SAN NICOLAS
REGIMIENTO DE PATRICIOS AV.,51,51 REGIMIENTO DE PATRICIOS AV.,-58.3706639,-34.6302258,4,BARRACAS
REGIMIENTO DE PATRICIOS AV.,389,389 REGIMIENTO DE PATRICIOS AV.,-58.3703604,-34.6334097,4,BARRACAS
REGIMIENTO DE PATRICIOS AV.,435,435 REGIMIENTO DE PATRICIOS AV.,-58.3702771,-34.6340118,4,BARRACAS
REGIMIENTO DE PATRICIOS AV.,471,471 REGIMIENTO DE PATRICIOS AV.,-58.3702328,-34.6342993,4,BARRACAS
BARTOLOME MITRE,1464,"1464 MITRE, BARTOLOME",-58.38715257,-34.60775698,1,SAN NICOLAS
REGIMIENTO DE PATRICIOS AV.,673,673 REGIMIENTO DE PATRICIOS AV.,-58.3699335,-34.6361996,4,BARRACAS
BARTOLOME MITRE,1444,"1444 MITRE, BARTOLOME",-58.38690677,-34.60774163,1,SAN NICOLAS
REGIMIENTO DE PATRICIOS AV.,717,717 REGIMIENTO DE PATRICIOS AV.,-58.3698545,-34.6367229,4,BARRACAS
REGIMIENTO DE PATRICIOS AV.,761,761 REGIMIENTO DE PATRICIOS AV.,-58.3698136,-34.6369873,4,BARRACAS
REGIMIENTO DE PATRICIOS AV.,787,787 REGIMIENTO DE PATRICIOS AV.,-58.3697851,-34.637171,4,BARRACAS
BARTOLOME MITRE,1608,"1608 MITRE, BARTOLOME",-58.3894206,-34.60790029,1,SAN NICOLAS
BARTOLOME MITRE,1682,"1682 MITRE, BARTOLOME",-58.39033209,-34.60794204,1,SAN NICOLAS
RIVADAVIA AV.,1581,1581 RIVADAVIA AV.,-58.3887206,-34.6089946,1,SAN NICOLAS
RIVADAVIA AV.,1635,1635 RIVADAVIA AV.,-58.3895865,-34.6090372,1,SAN NICOLAS
RIVADAVIA AV.,1655,1655 RIVADAVIA AV.,-58.3898883,-34.6090641,1,SAN NICOLAS
RIVADAVIA AV.,1665,1665 RIVADAVIA AV.,-58.3900789,-34.6090775,1,SAN NICOLAS
RIVADAVIA AV.,1719,1719 RIVADAVIA AV.,-58.3909525,-34.6091327,1,SAN NICOLAS
RIVADAVIA AV.,1775,1775 RIVADAVIA AV.,-58.3915424,-34.6091742,1,SAN NICOLAS
REGIMIENTO DE PATRICIOS AV.,1125,1125 REGIMIENTO DE PATRICIOS AV.,-58.3692334,-34.6407253,4,BARRACAS
REGIMIENTO DE PATRICIOS AV.,1151,1151 REGIMIENTO DE PATRICIOS AV.,-58.3692168,-34.6408335,4,BARRACAS
REGIMIENTO DE PATRICIOS AV.,1175,1175 REGIMIENTO DE PATRICIOS AV.,-58.3692015,-34.6409333,4,BARRACAS
CALLAO AV.,131,131 CALLAO AVE,-58.3919606,-34.6075947,1,SAN NICOLAS
CALLAO AV.,157,157 CALLAO AV.,-58.3919813,-34.6073075,1,SAN NICOLAS
REGIMIENTO DE PATRICIOS AV.,1353,1353 REGIMIENTO DE PATRICIOS AV.,-58.3689501,-34.6426194,4,BARRACAS
REGIMIENTO DE PATRICIOS AV.,1439,1439 REGIMIENTO DE PATRICIOS AV.,-58.3688552,-34.6432637,4,BARRACAS
CALLAO AV.,323,323 CALLAO AV.,-58.3921162,-34.6053942,1,SAN NICOLAS
REGIMIENTO DE PATRICIOS AV.,1471,1471 REGIMIENTO DE PATRICIOS AV.,-58.3688177,-34.6435163,4,BARRACAS
REGIMIENTO DE PATRICIOS AV.,1487,1487 REGIMIENTO DE PATRICIOS AV.,-58.3687967,-34.6436638,4,BARRACAS
CALLAO AV.,339,339 CALLAO AV.,-58.3921326,-34.6051805,1,SAN NICOLAS
CALLAO AV.,353,353 CALLAO AV.,-58.3921513,-34.6049376,1,SAN NICOLAS
CALLAO AV.,377,377 CALLAO AV.,-58.3921708,-34.6046837,1,SAN NICOLAS
CALLAO AV.,445,445 CALLAO AV.,-58.3922218,-34.6040758,1,BARRACAS
REGIMIENTO DE PATRICIOS AV.,1569,1569 REGIMIENTO DE PATRICIOS AV.,-58.3686912,-34.6443683,4,SAN NICOLAS
CALLAO AV.,473,473 CALLAO AV.,-58.392256,-34.6036411,1,SAN NICOLAS
REGIMIENTO DE PATRICIOS AV.,1747,1747 REGIMIENTO DE PATRICIOS AV.,-58.368446,-34.6460503,4,BARRACAS
REGIMIENTO DE PATRICIOS AV.,1825,1825 REGIMIENTO DE PATRICIOS AV.,-58.3683417,-34.6467662,4,BARRACAS
REGIMIENTO DE PATRICIOS AV.,1845,1845 REGIMIENTO DE PATRICIOS AV.,-58.3682974,-34.6470634,4,BARRACAS
REGIMIENTO DE PATRICIOS AV.,1857,1857 REGIMIENTO DE PATRICIOS AV.,-58.3682902,-34.6471116,4,BARRACAS
CALLAO AV.,717,717 CALLAO AV.,-58.3927025,-34.6005557,1,SAN NICOLAS
CALLAO AV.,745,745 CALLAO AV.,-58.392732,-34.6003471,1,SAN NICOLAS
CALLAO AV.,769,769 CALLAO AV.,-58.3927496,-34.6002225,1,SAN NICOLAS
CALLAO AV.,777,777 CALLAO AV.,-58.3927794,-34.6000115,1,SAN NICOLAS
REGIMIENTO DE PATRICIOS AV.,1880,1880 REGIMIENTO DE PATRICIOS AV.,-58.3680575,-34.6476058,4,LA BOCA
CORDOBA AV.,1749,1749 CORDOBA AV.,-58.3921475,-34.5995123,2,RECOLETA
REGIMIENTO DE PATRICIOS AV.,1560,1560 REGIMIENTO DE PATRICIOS AV.,-58.3685247,-34.6444316,4,LA BOCA
REGIMIENTO DE PATRICIOS AV.,1516,1516 REGIMIENTO DE PATRICIOS AV.,-58.3685811,-34.6440705,4,LA BOCA
REGIMIENTO DE PATRICIOS AV.,1510,1510 REGIMIENTO DE PATRICIOS AV.,-58.3685911,-34.6440004,4,LA BOCA
CORDOBA AV.,1565,1565 CORDOBA AVE,-58.3891283,-34.5993257,2,RECOLETA
CORDOBA AV.,1521,1521 CORDOBA AV.,-58.3885385,-34.5992928,2,RECOLETA
REGIMIENTO DE PATRICIOS AV.,1170,1170 REGIMIENTO DE PATRICIOS AV.,-58.3690724,-34.6407619,4,LA BOCA
REGIMIENTO DE PATRICIOS AV.,1168,1168 REGIMIENTO DE PATRICIOS AV.,-58.369078,-34.640742,4,LA BOCA
REGIMIENTO DE PATRICIOS AV.,1130,1130 REGIMIENTO DE PATRICIOS AV.,-58.369121,-34.6404457,4,LA BOCA
